gid,barrio,plaza,nro_piq,calle,altura,artefacto,lampara,potencia,soporte,columna,tulipa,portaeq,lng,lat
146625,SAN BENITO,,31,JORGE M. ROMERO,570,AL400,LED,150,JIRAFA DOBLE,ACERO,SI,SI,-588.465.897.738.687.000,-274.844.076.219.458.000
146626,SAN BENITO,,30,JORGE M. ROMERO,550,AL400,LED,150,JIRAFA DOBLE,ACERO,SI,SI,-588.467.957.356.279.000,-274.843.784.430.100.000
146632,SAN BENITO,,24,JORGE M. ROMERO,398,AL400,LED,150,JIRAFA DOBLE,ACERO,SI,SI,-588.483.789.113.029.000,-274.836.156.713.708.000
52,ALDANA,PARQUE MITRE,2,,,FAROLA GLOBO,LED,150,SIN ESPECIFICAR,ACERO,SI,SIN ESPECIFICAR,-588.302.689.718.391.000,-274.603.509.816.164.000
72,ALDANA,PARQUE MITRE,22,,,FAROLA GLOBO,LED,150,SIN ESPECIFICAR,ACERO,SI,SIN ESPECIFICAR,-588.283.403.031.997.000,-274.599.407.426.999.000
81,ALDANA,PARQUE MITRE,31,,,FAROLA GLOBO,LED,150,SIN ESPECIFICAR,ACERO,SI,SIN ESPECIFICAR,-588.303.761.315.569.000,-274.601.807.985.848.000
154580,LAS ROSAS,,17,FRAGATA SARMIENTO,2950,PHILIPS,LED,76,R8,,,,-588.168.552.517.888.000,-274.938.136.156.158.000
154591,INDEPENDENCIA,,1045,DR. LUIS FEDERICO LELOIR,1900,PHILIPS,LED,76,R8,,,,-58.829.052.597.284.100,-275.034.908.934.776.000
85,ALDANA,PARQUE MITRE,35,,,FAROLA GLOBO,LED,150,SIN ESPECIFICAR,ACERO,SI,SIN ESPECIFICAR,-588.307.767.672.167.000,-274.596.710.564.366.000
87,ALDANA,PARQUE MITRE,37,,,FAROLA GLOBO,LED,150,SIN ESPECIFICAR,ACERO,SI,SIN ESPECIFICAR,-588.308.083.846.566.000,-274.593.049.213.630.000
91,ALDANA,PARQUE MITRE,41,,,FAROLA GLOBO,LED,150,SIN ESPECIFICAR,ACERO,SI,SIN ESPECIFICAR,-588.306.866.884.901.000,-274.592.397.518.792.000
104,ALDANA,PARQUE MITRE,53,,,FAROLA GLOBO,LED,150,SIN ESPECIFICAR,ACERO,SI,SIN ESPECIFICAR,-588.295.736.989.308.000,-274.590.839.407.455.000
107,ALDANA,PARQUE MITRE,56,,,FAROLA GLOBO,LED,150,SIN ESPECIFICAR,ACERO,SI,SIN ESPECIFICAR,-58.829.472.823.616.300,-274.590.839.917.372.000
109,ALDANA,PARQUE MITRE,58,,,FAROLA GLOBO,LED,150,SIN ESPECIFICAR,ACERO,SI,SIN ESPECIFICAR,-588.294.024.580.508.000,-2.745.883.196.491.540
110,ALDANA,PARQUE MITRE,59,,,FAROLA GLOBO,LED,150,SIN ESPECIFICAR,ACERO,SI,SIN ESPECIFICAR,-58.829.080.526.828.000,-274.587.592.930.588.000
114,ALDANA,PARQUE MITRE,63,,,FAROLA GLOBO,LED,150,SIN ESPECIFICAR,ACERO,SI,SIN ESPECIFICAR,-588.288.017.676.571.000,-274.586.291.651.955.000
118,ALDANA,PARQUE MITRE,67,,,FAROLA GLOBO,LED,150,SIN ESPECIFICAR,ACERO,SI,SIN ESPECIFICAR,-588.285.149.030.482.000,-274.585.986.526.198.000
119,ALDANA,PARQUE MITRE,68,,,FAROLA GLOBO,LED,150,SIN ESPECIFICAR,ACERO,SI,SIN ESPECIFICAR,-588.283.345.683.551.000,-274.586.148.712.366.000
120,ALDANA,PARQUE MITRE,69,,,FAROLA GLOBO,LED,150,SIN ESPECIFICAR,ACERO,SI,SIN ESPECIFICAR,-588.281.945.182.119.000,-274.585.781.965.930.000
124,ALDANA,PARQUE MITRE,73,,,FAROLA GLOBO,LED,150,SIN ESPECIFICAR,ACERO,SI,SIN ESPECIFICAR,-588.280.281.430.313.000,-274.588.485.855.615.000
125,ALDANA,PARQUE MITRE,74,,,FAROLA GLOBO,LED,150,SIN ESPECIFICAR,ACERO,SI,SIN ESPECIFICAR,-588.280.007.879.794.000,-274.590.761.592.455.000
127,ALDANA,PARQUE MITRE,76,,,FAROLA GLOBO,LED,150,SIN ESPECIFICAR,ACERO,SI,SIN ESPECIFICAR,-588.280.231.318.997.000,-274.593.473.877.999.000
131,ALDANA,PARQUE MITRE,80,,,FAROLA GLOBO,LED,150,SIN ESPECIFICAR,ACERO,SI,SIN ESPECIFICAR,-588.281.755.987.997.000,-274.596.673.249.999.000
195,ALDANA,PARQUE MITRE,142,,,FAROLA GLOBO,LED,150,SIN ESPECIFICAR,ACERO,SI,SIN ESPECIFICAR,-588.288.389.166.727.000,-274.585.219.363.875.000
219,ALDANA,PARQUE MITRE,166,,,FAROLA GLOBO,LED,150,SIN ESPECIFICAR,ACERO,SI,SIN ESPECIFICAR,-588.290.270.324.997.000,-274.609.657.655.999.000
220,ALDANA,PARQUE MITRE,167,,,FAROLA GLOBO,LED,150,SIN ESPECIFICAR,ACERO,SI,SIN ESPECIFICAR,-58.828.745.032.071.800,-274.608.800.551.657.000
223,ALDANA,PARQUE MITRE,170,,,FAROLA GLOBO,LED,150,SIN ESPECIFICAR,ACERO,SI,SIN ESPECIFICAR,-588.283.622.162.933.000,-274.607.092.093.196.000
227,ALDANA,PARQUE MITRE,173,,,FAROLA GLOBO,LED,150,SIN ESPECIFICAR,ACERO,SI,SIN ESPECIFICAR,-588.280.497.624.002.000,-274.605.680.048.793.000
230,ALDANA,PARQUE MITRE,176,,,FAROLA GLOBO,LED,150,SIN ESPECIFICAR,ACERO,SI,SIN ESPECIFICAR,-58.827.934.497.255.400,-274.605.350.771.542.000
232,ALDANA,PARQUE MITRE,178,,,FAROLA GLOBO,LED,150,SIN ESPECIFICAR,ACERO,SI,SIN ESPECIFICAR,-588.277.117.889.959.000,-274.604.641.286.174.000
234,ALDANA,PARQUE MITRE,180,,,FAROLA GLOBO,LED,150,SIN ESPECIFICAR,ACERO,SI,SIN ESPECIFICAR,-588.273.441.139.997.000,-274.602.978.117.999.000
5166,NIÑO JESUS,,146,RIO JURAMENTO,1347,PANTALLA,LED,150,BRAZO,PM,NO,NO,-587.987.891.878.063.000,-274.783.082.982.746.000
5167,NIÑO JESUS,,145,RIO JURAMENTO,1351,MERIZA 56,LED,150,SUSPENSION,NO INFORMADO,SI,NO,-587.988.402.741.625.000,-274.785.722.369.976.000
5168,NIÑO JESUS,,144,RIO JURAMENTO,1384,PANTALLA,LED,150,BRAZO,PM,NO,NO,-587.988.737.768.349.000,-274.787.993.634.009.000
5169,NIÑO JESUS,,142,RIO JURAMENTO,1409,PANTALLA,LED,150,BRAZO,PM,NO,NO,-587.989.936.432.084.000,-274.795.908.912.826.000
5170,NIÑO JESUS,,141,RIO JURAMENTO,1441,PANTALLA,LED,150,BRAZO,PARED,NO,NO,-587.990.498.433.021.000,-274.798.571.653.140.000
5171,NIÑO JESUS,,140,RIO JURAMENTO,1445,PANTALLA,LED,150,BRAZO,H°A°,NO,NO,-587.991.012.538.781.000,-274.800.913.199.990.000
1611,MALVINAS ARGENTINAS,,47,FORMOSA,,AL400,LED,250,SIN ESPECIFICAR,H°A°,NO,SI,-588.273.656.888.977.000,-274.928.328.134.758.000
159073,SAN GERONIMO,,111,RIO CUARTO,4900,PHILIPS,LED,76,R8 BRAZO CORTO,,,,-587.893.210.351.464.000,-274.674.177.494.434.000
1612,MALVINAS ARGENTINAS,,48,FORMOSA,,AL400,LED,250,SIN ESPECIFICAR,H°A°,SI,SI,-588.268.699.968.800.000,-274.933.893.708.657.000
1614,MALVINAS ARGENTINAS,,36,GUALEGUAYCHU,,AL400,LED,250,SIN ESPECIFICAR,H°A°,NO,NO,-588.280.613.427.435.000,-274.937.965.836.313.000
1615,MALVINAS ARGENTINAS,,35,GUALEGUAYCHU,,AL400,LED,250,SIN ESPECIFICAR,H°A°,NO,SI,-588.281.175.971.765.000,-274.937.068.118.623.000
1618,MALVINAS ARGENTINAS,,23,CONCORDIA,,AL400,LED,250,SIN ESPECIFICAR,H°A°,NO,SI,-588.274.500.130.637.000,-274.932.034.126.309.000
1625,MALVINAS ARGENTINAS,,9,BARILOCHE,,AL400,LED,250,SIN ESPECIFICAR,H°A°,SI,SI,-588.268.476.415.617.000,-274.925.844.780.270.000
1626,MALVINAS ARGENTINAS,,8,BARILOCHE,,AL400,LED,250,SIN ESPECIFICAR,H°A°,SI,SI,-588.271.414.656.849.000,-27.492.547.604.908.200
157284,VILLA CELIA,,3,ECUADOR,3700,PHILIPS,LED,76,R8 CON BRAZO CORTO,,,,-58.805.083.036.422.400,-274.740.207.010.323.000
151132,LIBERTAD,,89,BOLIVAR,2200,PHILIPS,LED,76,LMS,,,,-588.224.835.738.201.000,-274.723.776.906.170.000
364,CAMBA CUA,ANFITEATRO JOSÉ HERNANDEZ,4,AV. COSTANERA GRAL. SAN MARTIN,90,SIN ESPECIFICAR,LED,130,PESCANTE,SIN DATO,SI,SIN ESPECIFICAR,-588.481.259.097.124.000,-27.465.861.693.418.000
267,LA CRUZ,LA CRUZ,7,SALTA,,SIN ESPECIFICAR,LED,250,PESCANTE,SIN DATO,SI,SIN ESPECIFICAR,-58.839.469.799.845.400,-274.716.549.773.308.000
268,LA CRUZ,LA CRUZ,8,SALTA,,SIN ESPECIFICAR,LED,250,PESCANTE,SIN DATO,NO,SIN ESPECIFICAR,-588.394.932.478.041.000,-274.716.551.727.764.000
269,LA CRUZ,LA CRUZ,9,BOLIVAR,,SIN ESPECIFICAR,LED,250,PESCANTE,SIN DATO,SI,SIN ESPECIFICAR,-588.395.775.418.036.000,-274.706.972.186.537.000
270,LA CRUZ,PLAZA LA CRUZ,10,BOLIVAR,,SIN ESPECIFICAR,LED,250,PESCANTE,SIN DATO,SI,SIN ESPECIFICAR,-588.395.837.812.429.000,-27.470.715.825.186.500
271,LA CRUZ,PLAZA LA CRUZ,11,BOLIVAR,,SIN ESPECIFICAR,LED,250,PESCANTE,ACERO,NO,SIN ESPECIFICAR,-588.398.462.799.577.000,-274.706.722.474.509.000
331,JUAN XXIII,PLAZA FRAY MAMERTO ESQUIU,2,PRIMERA JUNTA,1310,SIN ESPECIFICAR,LED,150,TIPO PHILIP,ACERO,SI,SIN ESPECIFICAR,-588.371.334.204.640.000,-274.961.465.048.504.000
334,JUAN XXIII,PLAZA FRAY MAMERTO ESQUIU,5,PRIMERA JUNTA,1380,PHILIPS,LED,150,JIRAFA,ACERO,SI,SIN ESPECIFICAR,-588.363.230.017.742.000,-274.962.601.791.630.000
336,JUAN XXIII,PLAZA FRAY MAMERTO ESQUIU,7,FACUNDO QUIROGA,1380,PHILIPS,LED,150,PESCANTE,ACERO,NO,SIN ESPECIFICAR,-588.364.228.789.993.000,-274.965.105.168.591.000
340,JUAN XXIII,PLAZA FRAY MAMERTO ESQUIU,8,3 SARGENTOS,3479,PHILIPS,LED,150,PESCANTE,ACERO,NO,SIN ESPECIFICAR,-588.371.719.345.323.000,-274.963.834.239.122.000
343,JUAN XXIII,PLAZA FRAY MAMERTO ESQUIU,9,FACUNDO QUIROGA,1311,SIN ESPECIFICAR,LED,150,ARTESANAL,ACERO,NO,SIN ESPECIFICAR,-588.371.791.192.035.000,-274.964.047.498.951.000
1627,MALVINAS ARGENTINAS,,19,CONCORDIA,,AL400,LED,250,SIN ESPECIFICAR,H°A°,SI,SI,-588.278.358.996.803.000,-274.931.676.519.872.000
1629,MALVINAS ARGENTINAS,,21,CONCORDIA,,AL400,LED,250,SIN ESPECIFICAR,H°A°,SI,SI,-588.276.774.686.980.000,-2.749.318.368.660.290
1636,MALVINAS ARGENTINAS,,46,FORMOSA,,AL400,LED,250,SIN ESPECIFICAR,H°A°,SI,SI,-588.274.981.158.636.000,-274.928.280.268.554.000
1703,MALVINAS ARGENTINAS,,49,COSQUIN,2015,AL400,LED,250,SIN ESPECIFICAR,H°A°,SI,SI,-588.267.392.121.657.000,-274.934.472.930.073.000
1704,MALVINAS ARGENTINAS,,50,COSQUIN,2025,AL400,LED,250,SIN ESPECIFICAR,H°A°,SI,SI,-588.280.817.603.340.000,-274.935.491.106.444.000
1705,MALVINAS ARGENTINAS,,51,COSQUIN,2055,AL400,LED,250,SIN ESPECIFICAR,H°A°,SI,SI,-588.279.647.126.202.000,-274.935.599.298.119.000
1707,MALVINAS ARGENTINAS,,53,COSQUIN,2085,AL400,LED,250,SIN ESPECIFICAR,H°A°,SI,SI,-588.276.116.342.248.000,-274.935.667.930.129.000
1708,MALVINAS ARGENTINAS,,54,COSQUIN,2090,AL400,LED,250,SIN ESPECIFICAR,H°A°,SI,SI,-588.276.776.019.326.000,-274.938.691.033.467.000
1734,MALVINAS ARGENTINAS,,27,S/N,,MERIZA 56,LED,150,SIN ESPECIFICAR,ACERO,SI,SIN ESPECIFICAR,-588.280.092.743.676.000,-274.933.104.335.539.000
1736,MALVINAS ARGENTINAS,,29,S/N,,MERIZA 56,LED,150,SIN ESPECIFICAR,ACERO,SI,SIN ESPECIFICAR,-588.273.441.971.813.000,-274.936.117.593.976.000
1743,MALVINAS ARGENTINAS,,38,S/N,,FAROLA GLOBO,LED,150,SIN ESPECIFICAR,ACERO,SI,SIN ESPECIFICAR,-588.277.680.620.918.000,-27.493.837.104.712.000
441,LA ROSADA,PLAZOLETA VIRGEN STELLA MARIS,1,AV. JUAN TORRES DE VERA Y ARAGON,1100,Sin Dato,LED,150,COLUMNA,SIN DATO,SI,SIN ESPECIFICAR,-588.347.927.333.477.000,-274.612.593.218.334.000
442,LA ROSADA,PLAZOLETA VIRGEN STELLA MARIS,2,AV. JUAN TORRES DE VERA Y ARAGON,1200,Sin Dato,LED,150,COLUMNA,SIN DATO,SI,SIN ESPECIFICAR,-588.347.725.814.400.000,-27.461.260.905.280.300
491,LA ROSADA,PLAZOLETA VIRGEN STELLA MARIS,3,AV. JUAN TORRES DE VERA Y ARAGON,1500,Sin Dato,LED,150,COLUMNA,SIN DATO,SI,SIN ESPECIFICAR,-588.346.153.454.296.000,-274.612.637.807.812.000
492,LA ROSADA,PLAZOLETA VIRGEN STELLA MARIS,4,AV. JUAN TORRES DE VERA Y ARAGON,4,Sin Dato,LED,150,COLUMNA,SIN DATO,SI,SIN ESPECIFICAR,-588.345.964.172.249.000,-274.612.643.562.623.000
421,BERON DE ASTRADA,PLAZOLETA LLANO,7,AV. MAIPU,30,SIN ESPECIFICAR,LED,45,COLUMNA,SIN DATO,NO,SIN ESPECIFICAR,-58.830.899.426.192.000,-274.768.552.489.954.000
423,BERON DE ASTRADA,PLAZOLETA LLANO,5,AV. MAIPU,10,SIN ESPECIFICAR,LED,45,COLUMNA,SIN DATO,NO,SIN ESPECIFICAR,-588.309.720.099.744.000,-27.476.747.674.397.400
432,BERON DE ASTRADA,PLAZOLETA LLANO,9,AV. MAIPU,30,SIN ESPECIFICAR,LED,45,COLUMNA,SIN DATO,NO,SIN ESPECIFICAR,-588.309.492.100.334.000,-274.770.186.842.637.000
433,BERON DE ASTRADA,PLAZOLETA LLANO,8,AV. MAIPU,30,SIN ESPECIFICAR,LED,45,COLUMNA,SIN DATO,NO,SIN ESPECIFICAR,-58.831.001.559.401.500,-274.769.390.972.459.000
434,BERON DE ASTRADA,PLAZOLETA LLANO,10,AV. MAIPU,40,SIN ESPECIFICAR,LED,45,COLUMNA,SIN DATO,NO,SIN ESPECIFICAR,-588.308.283.003.230.000,-274.769.821.014.627.000
435,BERON DE ASTRADA,PLAZOLETA LLANO,1,AV. MAIPU,20,SIN ESPECIFICAR,LED,45,COLUMNA,SIN DATO,NO,SIN ESPECIFICAR,-588.312.485.279.158.000,-27.476.681.825.342.500
436,BERON DE ASTRADA,PLAZOLETA LLANO,2,AV. MAIPU,30,SIN ESPECIFICAR,LED,45,COLUMNA,SIN DATO,NO,SIN ESPECIFICAR,-588.310.274.664.537.000,-274.768.459.503.991.000
439,BERON DE ASTRADA,PLAZOLETA LLANO,20,DR. RAMON CARRILLO,1620,SIN ESPECIFICAR,LED,45,COLUMNA,SIN DATO,NO,SIN ESPECIFICAR,-588.313.512.318.686.000,-274.770.265.056.620.000
1748,MALVINAS ARGENTINAS,,58,COSQUIN,2175,AL400,LED,250,SIN ESPECIFICAR,ACERO,SI,SIN ESPECIFICAR,-588.271.530.193.797.000,-274.939.412.689.433.000
10732,CACIQUE CANINDEYU,,82,S/N,,FAROLA CHINA,LED,150,BRAZO,ACERO,SI,NO,-588.251.104.022.842.000,-274.915.516.251.145.000
10733,CACIQUE CANINDEYU,,85,S/N,,FAROLA CHINA,LED,150,BRAZO,ACERO,SI,NO,-588.248.508.476.062.000,-274.912.170.341.658.000
10734,CACIQUE CANINDEYU,,83,S/N,,FAROLA CHINA,LED,150,BRAZO,ACERO,SI,NO,-58.824.909.684.363.200,-274.913.544.013.333.000
10735,CACIQUE CANINDEYU,,80,S/N,,FAROLA CHINA,LED,150,BRAZO,ACERO,SI,NO,-588.248.688.472.480.000,-274.910.705.393.702.000
10736,CACIQUE CANINDEYU,,79,S/N,,FAROLA CHINA,LED,150,BRAZO,ACERO,SI,NO,-588.250.426.790.083.000,-274.912.186.539.408.000
581,CENTRO,PLAZA CABRAL,143,,,DICROICA,LED,,A NIVEL DE PISO,SIN DATO,SI,SIN ESPECIFICAR,-588.312.756.445.491.000,-274.686.112.359.163.000
582,CENTRO,PLAZA CABRAL,144,,,DICROICA,LED,,A NIVEL DE PISO,SIN DATO,SI,SIN ESPECIFICAR,-588.312.717.233.422.000,-27.468.614.354.991.100
583,CENTRO,PLAZA CABRAL,145,,,DICROICA,LED,,A NIVEL DE PISO,SIN DATO,SI,SIN ESPECIFICAR,-588.312.736.286.871.000,-274.686.420.795.497.000
584,CENTRO,PLAZA CABRAL,146,,,DICROICA,LED,,A NIVEL DE PISO,SIN DATO,SI,SIN ESPECIFICAR,-5.883.127.280.479.880,-274.686.439.461.953.000
585,CENTRO,PLAZA CABRAL,147,,,DICROICA,LED,,A NIVEL DE PISO,SIN DATO,SI,SIN ESPECIFICAR,-588.312.684.774.223.000,-274.686.466.109.049.000
591,LA ROSADA,PLAZA GDOR. DR. BENJAMIN S. GONZALEZ,1,,,FAROLA GLOBO,LED,45,COLUMNA,ACERO,SI,SIN ESPECIFICAR,-58.823.596.545.766.200,-274.657.497.038.444.000
592,LA ROSADA,PLAZA GDOR. DR. BENJAMIN S. GONZALEZ,2,,,FAROLA GLOBO,LED,45,COLUMNA,ACERO,SI,SIN ESPECIFICAR,-588.235.960.282.069.000,-274.657.409.128.955.000
593,LA ROSADA,PLAZA GDOR. DR. BENJAMIN S. GONZALEZ,3,,,FAROLA GLOBO,LED,45,COLUMNA,ACERO,SI,SIN ESPECIFICAR,-588.236.193.471.924.000,-274.659.189.114.277.000
594,LA ROSADA,PLAZA GDOR. DR. BENJAMIN S. GONZALEZ,4,,,FAROLA GLOBO,LED,45,COLUMNA,ACERO,SI,SIN ESPECIFICAR,-58.823.617.719.557.900,-27.465.910.710.936.100
595,LA ROSADA,PLAZA GDOR. DR. BENJAMIN S. GONZALEZ,5,,,FAROLA GLOBO,LED,45,COLUMNA,ACERO,SI,SIN ESPECIFICAR,-588.235.878.104.338.000,-274.660.366.697.071.000
596,LA ROSADA,PLAZA GDOR. DR. BENJAMIN S. GONZALEZ,6,,,FAROLA GLOBO,LED,45,COLUMNA,ACERO,SI,SIN ESPECIFICAR,-588.235.978.157.420.000,-274.659.930.539.297.000
600,LA ROSADA,PLAZA GDOR. DR. BENJAMIN S. GONZALEZ,10,,,FAROLA GLOBO,LED,45,COLUMNA,ACERO,SI,SIN ESPECIFICAR,-588.236.546.712.590.000,-274.662.123.992.188.000
503,JUAN DE VERA,PLAZA DR. JUAN RAMON VIDAL,1,ESCOCIA,650,PHILIPS,LED,150,TIPO PHILIP,SIN DATO,NO,SIN ESPECIFICAR,-588.441.855.445.136.000,-274.902.576.233.017.000
504,JUAN DE VERA,PLAZA DR. JUAN RAMON VIDAL,2,ESCOCIA,800,PHILIPS,LED,150,TIPO PHILIP,SIN DATO,NO,SIN ESPECIFICAR,-58.843.991.094.974.600,-274.902.317.482.925.000
506,JUAN DE VERA,PLAZA DR. JUAN RAMON VIDAL,4,DIEGO DE IRALA,2400,PHILIPS,LED,150,TIPO PHILIP,SIN DATO,NO,SIN ESPECIFICAR,-588.437.722.900.356.000,-274.904.814.676.205.000
507,JUAN DE VERA,PLAZA DR. JUAN RAMON VIDAL,5,NUÑEZ CABEZA DE VACA,654,PHILIPS,LED,150,TIPO PHILIP,SIN DATO,NO,SIN ESPECIFICAR,-588.440.944.963.540.000,-274.905.480.476.568.000
509,JUAN DE VERA,PLAZA DR. JUAN RAMON VIDAL,7,,,MERIZA,LED,150,MERIZA C/B,SIN DATO,REGULAR,SIN ESPECIFICAR,-588.440.127.262.564.000,-274.903.358.119.578.000
510,JUAN DE VERA,PLAZA DR. JUAN RAMON VIDAL,8,,,MERIZA,LED,150,MERIZA C/B,SIN DATO,REGULAR,SIN ESPECIFICAR,-588.441.880.225.601.000,-274.904.528.559.505.000
147587,SAN MARTIN,,1,LAVALLE,600,PHILIPS,LED,76,R8 CON BRAZO CORTO,,,,-588.438.049.498.493.000,-274.761.172.173.724.000
603,LA ROSADA,PLAZA GDOR. DR. BENJAMIN S. GONZALEZ,13,,,FAROLA GLOBO,LED,45,COLUMNA,ACERO,SI,SIN ESPECIFICAR,-588.234.436.763.015.000,-274.664.254.970.969.000
604,LA ROSADA,PLAZA GDOR. DR. BENJAMIN S. GONZALEZ,14,,,FAROLA GLOBO,LED,45,COLUMNA,ACERO,SI,SIN ESPECIFICAR,-588.234.404.074.014.000,-274.664.230.662.969.000
608,LA ROSADA,PLAZA GDOR. DR. BENJAMIN S. GONZALEZ,17,,,FAROLA GLOBO,LED,45,COLUMNA,ACERO,SI,SIN ESPECIFICAR,-588.235.281.044.579.000,-274.661.152.827.973.000
609,LA ROSADA,PLAZA GDOR. DR. BENJAMIN S. GONZALEZ,18,,,FAROLA GLOBO,LED,45,COLUMNA,ACERO,SI,SIN ESPECIFICAR,-588.234.426.679.668.000,-274.661.494.669.985.000
610,LA ROSADA,PLAZA GDOR. DR. BENJAMIN S. GONZALEZ,19,,,FAROLA GLOBO,LED,45,COLUMNA,ACERO,SI,SIN ESPECIFICAR,-588.234.594.840.017.000,-274.658.168.177.574.000
611,LA ROSADA,PLAZA GDOR. DR. BENJAMIN S. GONZALEZ,20,,,FAROLA GLOBO,LED,45,COLUMNA,ACERO,SI,SIN ESPECIFICAR,-58.823.464.257.374.800,-274.658.119.076.936.000
612,LA ROSADA,PLAZA GDOR. DR. BENJAMIN S. GONZALEZ,21,,,FAROLA GLOBO,LED,45,COLUMNA,ACERO,SI,SIN ESPECIFICAR,-588.235.644.015.340.000,-274.657.290.162.272.000
613,LA ROSADA,PLAZA GDOR. DR. BENJAMIN S. GONZALEZ,22,,,FAROLA GLOBO,LED,45,COLUMNA,ACERO,SI,SIN ESPECIFICAR,-588.235.700.877.108.000,-274.657.239.252.171.000
614,LA ROSADA,PLAZA GDOR. DR. BENJAMIN S. GONZALEZ,23,,,FAROLA GLOBO,LED,45,COLUMNA,ACERO,SI,SIN ESPECIFICAR,-588.234.310.824.573.000,-274.658.424.396.798.000
615,LA ROSADA,PLAZA GDOR. DR. BENJAMIN S. GONZALEZ,24,,,FAROLA GLOBO,LED,45,COLUMNA,ACERO,SI,SIN ESPECIFICAR,-58.823.426.525.253.200,-27.465.846.661.493.000
616,LA ROSADA,PLAZA GDOR. DR. BENJAMIN S. GONZALEZ,25,,,FAROLA GLOBO,LED,45,COLUMNA,ACERO,SI,SIN ESPECIFICAR,-588.233.856.699.282.000,-274.658.915.804.154.000
617,LA ROSADA,PLAZA GDOR. DR. BENJAMIN S. GONZALEZ,26,,,FAROLA GLOBO,LED,45,COLUMNA,ACERO,SI,SIN ESPECIFICAR,-588.233.498.974.513.000,-274.659.449.104.544.000
626,LA ROSADA,PLAZA GDOR. DR. BENJAMIN S. GONZALEZ,35,,,FAROLA GLOBO,LED,45,COLUMNA,ACERO,SI,SIN ESPECIFICAR,-58.823.102.234.710.500,-274.661.374.719.728.000
627,LA ROSADA,PLAZA GDOR. DR. BENJAMIN S. GONZALEZ,36,,,FAROLA GLOBO,LED,45,COLUMNA,ACERO,SI,SIN ESPECIFICAR,-588.231.574.085.613.000,-274.660.872.562.910.000
628,LA ROSADA,PLAZA GDOR. DR. BENJAMIN S. GONZALEZ,37,,,FAROLA GLOBO,LED,45,COLUMNA,ACERO,SI,SIN ESPECIFICAR,-58.823.162.367.672.700,-274.660.831.174.382.000
